  UID   PID  PPID   C STIME   TTY           TIME CMD
  501  1187     1   0  6 925  ??         0:42.15 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  501  1188     1   0  6 925  ??         0:13.55 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
  501  1189     1   0  6 925  ??         1:02.76 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  501  1190     1   0  6 925  ??         1:35.18 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  501  1191     1   0  6 925  ??         0:07.50 /usr/libexec/pkd
  501  1192     1   0  6 925  ??         2:17.09 /usr/libexec/networkserviceproxy
  501  1193     1   0  6 925  ??         0:40.56 /usr/libexec/transparencyd
  501  1194     1   0  6 925  ??         0:02.33 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
  501  1197     1   0  6 925  ??         0:00.03 /System/Library/PrivateFrameworks/SystemMigrationNetwork.framework/Resources/migrationhelper
  501  1199     1   0  6 925  ??         0:20.76 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
  501  1200     1   0  6 925  ??         0:07.54 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
  501  1201     1   0  6 925  ??         0:13.71 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  501  1205     1   0  6 925  ??         0:05.34 /System/Library/PrivateFrameworks/iCloudNotification.framework/iCloudNotificationAgent
  501  1206     1   0  6 925  ??         0:23.91 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  501  1207     1   0  6 925  ??         0:02.44 /System/Library/Frameworks/FinanceKit.framework/financed
  501  1209     1   0  6 925  ??         0:03.17 /usr/libexec/findmylocateagent
  501  1210     1   0  6 925  ??         1:08.35 /usr/libexec/siriknowledged
  501  1211     1   0  6 925  ??         3:06.59 /usr/libexec/searchpartyuseragent
  501  1212     1   0  6 925  ??         0:05.45 /System/Library/PrivateFrameworks/SiriInference.framework/Versions/A/siriinferenced
  501  1213     1   0  6 925  ??         0:00.43 /usr/libexec/diagnosticextensionsd
  501  1214     1   0  6 925  ??         2:17.57 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
  501  1215     1   0  6 925  ??         0:01.09 /System/Library/PrivateFrameworks/AvatarPersistence.framework/Support/avatarsd
  501  1216     1   0  6 925  ??         0:27.03 /usr/libexec/linkd
  501  1217     1   0  6 925  ??         1:20.12 /System/Library/PrivateFrameworks/AXAssetLoader.framework/Support/axassetsd
  501  1218     1   0  6 925  ??         0:02.70 /System/Library/CoreServices/pbs
